Código proyecto (PROJECT_id),Nombre proyecto (PROJECT_id),Fecha Inicio actual,Fecha término actual,Motivo
PROJECT_0448,PROJECT_0449,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0452,PROJECT_0453,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0456,PROJECT_0095,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0459,PROJECT_0230,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0461,PROJECT_0462,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0464,PROJECT_0465,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0468,PROJECT_0230,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0471,PROJECT_0472,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0474,PROJECT_0230,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0477,PROJECT_0230,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0480,PROJECT_0230,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0483,PROJECT_0484,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0486,PROJECT_0487,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0489,PROJECT_0490,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0493,PROJECT_0494,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0496,PROJECT_0497,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0499,PROJECT_0500,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0503,PROJECT_0504,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0506,PROJECT_0095,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0508,PROJECT_0509,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0512,PROJECT_0513,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0515,PROJECT_0516,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0519,PROJECT_0520,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0522,PROJECT_0523,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0696,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0709,PROJECT_0710,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0712,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0719,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0724,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0725,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0732,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0733,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0747,PROJECT_0704,6/25/2026,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0749,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0754,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0491,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0289,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0339,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0755,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0756,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0755,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0757,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0758,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0759,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0759,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0759,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0760,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0761,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0762,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0763,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0764,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0768,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0769,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0770,,,,Sin coincidencia en staffing_excel.xlsx
PROJECT_0771,,,,Sin coincidencia en staffing_excel.xlsx
